ISO,Metric,Scenario,Period,Value_Low,Value_Median,Value_High
COL,tas_JJA,ssp2-45,Historical 1986-2005,72.8613402051154,73.183036090873,73.2969232296058
COL,tas_JJA,ssp2-45,Next decades 2020-2039,74.4159173205887,74.6069119887776,75.0483033469843
COL,tas_JJA,ssp2-45,Midcentury 2040-2059,74.9972479501366,75.4404101888583,76.251442642198
COL,tas_JJA,ssp2-45,End of century 2080-2099,75.494308439229,76.4421909080263,77.8736702792095
COM,tas_JJA,ssp2-45,Historical 1986-2005,75.4060971092321,75.5151136835864,75.7906847452091
COM,tas_JJA,ssp2-45,Next decades 2020-2039,76.4504419808486,76.629499023065,77.0907502016707
COM,tas_JJA,ssp2-45,Midcentury 2040-2059,76.9293294204583,77.3063564648879,78.0027935604829
COM,tas_JJA,ssp2-45,End of century 2080-2099,77.4178359913367,78.2047379382797,78.9063095903817
CPV,tas_JJA,ssp2-45,Historical 1986-2005,74.985456394366,75.3627539125579,75.7959984675418
CPV,tas_JJA,ssp2-45,Next decades 2020-2039,76.3672355353861,76.6710380615004,77.3967937607074
CPV,tas_JJA,ssp2-45,Midcentury 2040-2059,76.7104669312269,77.262031945995,78.110929948159
CPV,tas_JJA,ssp2-45,End of century 2080-2099,77.2540198142804,78.1056744432691,79.2832692450068
CRI,tas_JJA,ssp2-45,Historical 1986-2005,73.9779573049247,74.3335727416341,74.6087620602704
CRI,tas_JJA,ssp2-45,Next decades 2020-2039,75.0449535106026,75.7599465025185,76.1281131465817
CRI,tas_JJA,ssp2-45,Midcentury 2040-2059,75.5879009734215,76.5417374298136,77.2886736718585
CRI,tas_JJA,ssp2-45,End of century 2080-2099,76.2844326491068,77.4133366173637,78.6789601418529
CSI,tas_JJA,ssp2-45,Historical 1986-2005,70.6026948766371,70.7438033204225,71.0583247037028
CSI,tas_JJA,ssp2-45,Next decades 2020-2039,71.3269393309496,71.8688036709384,72.399082492078
CSI,tas_JJA,ssp2-45,Midcentury 2040-2059,71.4054256242735,72.4305729844983,73.0603789559933
CSI,tas_JJA,ssp2-45,End of century 2080-2099,72.3449588399806,73.1081864953184,74.342949712793
CUB,tas_JJA,ssp2-45,Historical 1986-2005,81.760222896185,82.1986414447433,82.3203130286094
CUB,tas_JJA,ssp2-45,Next decades 2020-2039,83.326763132473,83.7998740459595,84.3098668761788
CUB,tas_JJA,ssp2-45,Midcentury 2040-2059,83.9403181112702,84.4937175174575,85.1898921529984
CUB,tas_JJA,ssp2-45,End of century 2080-2099,84.4760941313719,85.6523562083144,87.2225131096031
CUW,tas_JJA,ssp2-45,Historical 1986-2005,80.1184002663292,80.426843057247,80.5057276886277
CUW,tas_JJA,ssp2-45,Next decades 2020-2039,81.2436219844892,81.7148941871745,82.1495038755623
CUW,tas_JJA,ssp2-45,Midcentury 2040-2059,82.0311090829933,82.2568303007686,82.9469851055808
CUW,tas_JJA,ssp2-45,End of century 2080-2099,82.3400261380432,83.1397443602004,84.2402460994769
CYM,tas_JJA,ssp2-45,Historical 1986-2005,81.5682618632036,81.9570044735035,82.0957636959736
CYM,tas_JJA,ssp2-45,Next decades 2020-2039,82.971738709001,83.3252416768959,83.7220927418713
CYM,tas_JJA,ssp2-45,Midcentury 2040-2059,83.5444845086629,84.0546671577678,84.6275688207546
CYM,tas_JJA,ssp2-45,End of century 2080-2099,84.0729967115988,85.0580331250429,86.1445692985414
CYN,tas_JJA,ssp2-45,Historical 1986-2005,81.0747979119966,81.4123299223226,82.0125454129426
CYN,tas_JJA,ssp2-45,Next decades 2020-2039,83.2716080684168,83.8450875947958,84.7968640637896
CYN,tas_JJA,ssp2-45,Midcentury 2040-2059,83.4957607385591,84.6290753977501,85.9355777888221
CYN,tas_JJA,ssp2-45,End of century 2080-2099,84.381790336556,85.9942371134615,87.9721755299518
CYP,tas_JJA,ssp2-45,Historical 1986-2005,79.5417741839357,79.8945510660232,80.4847127069041
CYP,tas_JJA,ssp2-45,Next decades 2020-2039,81.4995045228823,82.2078252176609,83.0501893547236
CYP,tas_JJA,ssp2-45,Midcentury 2040-2059,81.8730851489486,82.9204661817986,84.3467442716852
CYP,tas_JJA,ssp2-45,End of century 2080-2099,82.7487290599187,84.3154886500474,86.1533602598677
CZE,tas_JJA,ssp2-45,Historical 1986-2005,61.7949752860545,62.0644867885479,62.7783797107092
CZE,tas_JJA,ssp2-45,Next decades 2020-2039,64.1542554536889,65.1286736840161,66.0341840677524
